Page,2021-06-28T12:08:45.156Z,2021-06-25T20:42:54.091Z,2021-06-25T18:56:34.807Z,2021-06-25T18:45:58.610Z,2021-06-25T17:33:54.090Z
/,4.41,null,null,null,null
/obj/terminal_elements/view,4.29,4.11,5,4.56,4.03
/terminal/add,4.31,4,3.81,4.63,3.75
/obj/terminal_component_elements/view,4.68,4.8,4.56,7.13,5.06
/obj/misc/provisioning,3.32,2.85,2.9,4.46,3.43
/config/satelliterouter/add,4.05,3.59,3.33,5.2,3.49
/config/terminaltype/add,4.94,3.6,3.37,4.45,3.79
/config/buc/add,4.1,3.55,3.68,3.66,4.34
/config/lnb/add,4.93,4.06,3.74,3.65,4.12
/config/acu/add,3.52,3.42,3.87,3.76,3.65
/obj/service_domain_elements/view,4.37,4.95,3.81,4.53,5.4
/config/gsp/add,9.15,9.37,9.15,10.48,10.56
/config/sspp/add,10.54,10.18,8.95,11.47,11.35
/config/mgsp/add,8.74,8.88,8.29,9.58,10.69
/config/msspp/add,7.87,5.92,6.75,6.74,7.26
/config/geographicregion/add,6.49,3.72,3.55,4.18,3.71
/config/gspserviceplanprofile/add,4.46,3.56,3.26,6.62,4.81
/obj/physical_domain_elements/view,4.2,3.52,3.86,5.84,3.94
/config/svn/add,4.36,3.92,4,7.8,3.78
/config/bladesvn/add,5.83,3.58,4.33,4.72,3.81
/config/site/add,3.91,4,4.26,5.39,4.48
/config/sitesvn/add,4.91,4.67,4.76,6.05,5.7
/config/chassis/add,4.73,4.3,3.85,3.82,4.54
/config/ifdomain/add,3.39,3.38,3.83,3.57,3.75
/config/linecard/add,4.21,3.81,3.67,3.73,4.02
/config/protocolprocessorcluster/add,4.38,5.04,4.08,4.09,4.39
/config/protocolprocessorserver/add,3.74,4.34,3.66,4.46,3.41
/config/squidcluster/add,3.92,3.56,3.88,3.6,4.21
/config/squidserver/add,5.69,5.71,4,3.58,3.9
/config/rfgateway/add,3.68,3.6,3.55,4.29,4.01
/obj/transport_domain_elements/view,3.9,3.86,3.61,3.42,3.68
/obj/beamfile/view,4.2,4.27,3.77,4.08,3.53
/obj/channelfile/view,5.24,3.82,6.83,3.75,4.07
/obj/rafile/view,3.79,3.91,4.48,3.34,3.68
/config/satellite/add,3.94,3.65,4.78,4.03,5.01
/config/beam/add,4.03,4.66,3.59,3.61,4.18
/config/beamset/add,4.23,4.18,3.52,3.31,3.81
/config/channel/add,5.12,3.95,4.64,4.18,5.18
/config/gsc/add,4.8,4.73,3.73,3.57,4.14
/config/asc/add,4.03,3.94,3.65,3.53,4.21
/config/servicearea/add,4.79,3.29,3.35,3.51,3.77
/config/serviceareagroup/add,5.56,4.88,3.32,3.46,3.84
/config/regulatoryarea/add,5.13,4.17,3.64,3.5,3.85
/config/map/add,3.8,3.67,3.9,3.54,4.12
/config/inet/add,4.79,3.44,4.58,3.38,3.37
/config/inroutegroup/add,3.85,3.69,4.41,4.15,3.77
/obj/map/view,4.03,3.85,3.75,3.65,3.9
/obj/network_domain_elements/view,4.69,4.3,4.37,3.65,3.85
/config/inetprofile/add,4.83,3.54,5.03,3.47,3.77
/config/inroutegroupprofile/add,4.34,4.11,4.39,3.7,6.4
/update/actionplan/browse,3.86,4.45,3.95,3.6,4.25
/obj/activitylog/view_report,4.24,4.46,4.37,4.26,4.43
/discretedata/operational/alarm/infrastructure/all,4.7,5.13,5.49,5.21,4.6
/discretedata/operational/alarm/infrastructure/logical,4.3,5.06,5.06,3.96,4.53
